state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,exp_award_percentile,ft_pct,fte_value,fte_percentile,aid_value,aid_percentile,endow_value,endow_percentile,grad_100_value,grad_100_percentile,grad_150_value,grad_150_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,state_sector_ct,carnegie_ct,cohort_size,awards_per_state_value_f
Southeast,4-year,Public,Masters,1.0,0.0,0.02367726500549609,0.099927060539752,0.2751322751322752,0.30674846625766894,0.019941140778422198,0.359140966667422,0.5412842844144028,0.9,0.9355509355509355,0.030646156767791862,0.33,0.16586736423969387,0.72,,,0.1,0.15,0.29100000000000004,0.14,0.7120000000000001,0.98,0.631,0.17,0.828,0.8989898989898991,0.10434782608695652,0.7461240310077519,0.05428888341138772,0
Southeast,4-year,Public,Research,0.0,0.0,0.06747550273040953,0.14879649890590807,0.2751322751322752,0.30674846625766894,0.025850727788879223,0.359140966667422,0.5412842844144028,0.97,0.7162162162162162,0.07911978350662298,0.67,0.14033812914789517,0.5,0.009633456864775977,0.93,0.294,0.67,0.535,0.66,0.35100000000000003,0.39,0.802,0.7000000000000001,0.924,0.98989898989899,0.10434782608695652,0.20348837209302326,0.08473009613014543,0
Southeast,4-year,Private not-for-profit,Baccalaureate,0.0,0.0,0.0017575725513017206,0.21444201312910283,0.2574955908289242,0.36809815950920255,0.01105886963411298,0.4527542996986245,1.0,0.3,0.6122661122661123,0.0020652328728101407,0.12,0.0544010076054837,0.01,0.00012053795049562252,0.01,0.0,0.0,0.667,0.72,0.684,0.91,0.375,0.02,0.672,0.7171717171717172,0.13043478260869565,0.48643410852713176,0.00012324377618930243,0
Southeast,4-year,Public,Research,0.0,0.0,0.0333468531221895,0.14879649890590807,0.2751322751322752,0.30674846625766894,0.012195539837886293,0.359140966667422,0.5412842844144028,0.61,0.7338877338877339,0.039302726740413685,0.4,0.1538778278351015,0.63,0.004590819558280298,0.81,0.165,0.34,0.484,0.54,0.32799999999999996,0.32,0.81,0.72,0.655,0.5656565656565657,0.10434782608695652,0.20348837209302326,0.04670939117574562,0
Southeast,4-year,Public,Masters,1.0,0.0,0.03134827563910393,0.08096280087527352,0.2751322751322752,0.30674846625766894,0.025067137187044158,0.359140966667422,0.5412842844144028,0.96,0.9064449064449064,0.03957967367738056,0.41000000000000003,0.16862859080559997,0.74,0.005269344445176187,0.84,0.08800000000000001,0.11,0.252,0.09,0.8270000000000001,1.0,0.622,0.15,0.67,0.5858585858585859,0.10434782608695652,0.7461240310077519,0.08318954892777915,0
Southeast,4-year,Public,Research,0.0,1.0,0.17291809947037698,0.12983223924142961,0.2751322751322752,0.30674846625766894,0.0142651731935908,0.359140966667422,0.5412842844144028,0.75,0.8981288981288981,0.21455474845305353,0.96,0.2445381000823524,0.9400000000000001,0.007770706484103559,0.9,0.42700000000000005,0.86,0.667,0.85,0.21100000000000002,0.07,0.87,0.87,0.6950000000000001,0.6464646464646465,0.10434782608695652,0.18410852713178294,0.27341631747596745,0
Southeast,2-year,Public,Associates,0.0,0.0,0.01106859235485331,0.11232676878191103,0.22398589065255736,0.0,0.010899463186481878,0.16908748951983865,0.16878980891719747,0.8300000000000001,0.48024948024948017,0.01152099257782209,0.21,0.1153659836264109,0.8200000000000001,9.140129358774025e-05,0.22,0.077,0.39,0.091,0.08,0.6509999999999999,0.93,0.42700000000000005,0.05,0.383,0.6666666666666667,0.20869565217391303,0.5581395348837209,0.03654177964012817,0
Southeast,4-year,Public,Masters,0.0,0.0,0.025270248822896645,0.10867979576951131,0.2751322751322752,0.30674846625766894,0.011082913124432636,0.359140966667422,0.5412842844144028,0.51,0.681912681912682,0.027995378942537466,0.3,0.0976844450903454,0.1,0.0042850842268907395,0.79,0.099,0.15,0.271,0.12,0.401,0.56,0.632,0.17,0.601,0.4444444444444445,0.10434782608695652,0.7461240310077519,0.0329677101306384,0
Southeast,4-year,Public,Research,0.0,0.0,0.1162466714867653,0.15317286652078774,0.2751322751322752,0.30674846625766894,0.013630765823030445,0.359140966667422,0.5412842844144028,0.71,0.9064449064449064,0.15510611024070645,0.87,0.20784285229860003,0.88,0.008817630471355274,0.92,0.376,0.8,0.679,0.87,0.16899999999999998,0.03,0.895,0.92,0.887,0.9696969696969697,0.10434782608695652,0.18410852713178294,0.25659354202612766,0
Southeast,4-year,Private not-for-profit,Baccalaureate,0.0,0.0,0.006848066964102022,0.16776075857038658,0.2574955908289242,0.36809815950920255,0.021521195661948527,0.4527542996986245,1.0,0.75,0.9812889812889812,0.01027077497665733,0.47000000000000003,0.4866298503124546,0.8,0.015006575704418594,0.7000000000000001,0.532,0.67,0.619,0.64,0.214,0.16,0.804,0.65,0.7170000000000001,0.7676767676767677,0.13043478260869565,0.48643410852713176,0.027606605866403747,0
Southeast,2-year,Public,Associates,0.0,0.0,0.010662998689168299,0.09555069292487237,0.22398589065255736,0.0,0.011416492887765176,0.16908748951983865,0.16878980891719747,0.85,0.5561330561330561,0.011062051939419835,0.2,0.09741801094802113,0.62,1.4368762310736459e-05,0.05,0.07200000000000001,0.37,0.134,0.23,0.612,0.89,0.516,0.23,0.267,0.31313131313131315,0.20869565217391303,0.5581395348837209,0.016946019226029084,0
